distance_m,track_surface,weather,track_condition,post_time,race_name,prize_1st,prize_2nd,prize_3rd,prize_4th,prize_5th,venue,day_of_meeting,round_of_year,race_class,head_count,metadata_source,race_id
1600,ダート,雨/,稍,,,550,220,140,83,55,,,,,,RaceData01,202305040301
1600,芝,雨/,稍,,,550,220,140,83,55,,,,,,RaceData01,202305040302
1800,芝,雨/,稍,,,550,220,140,83,55,,,,,,RaceData01,202305040303
3000,障害,雨/,稍/,,,790,320,200,120,79,,,,,,RaceData01,202305040304
1600,芝,雨/,稍,,,720,290,180,110,72,,,,,,RaceData01,202305040305
1400,ダート,雨/,不,,,720,290,180,110,72,,,,,,RaceData01,202305040306
1600,ダート,雨/,不,,,800,320,200,120,80,,,,,,RaceData01,202305040307
1400,芝,雨/,重,,,800,320,200,120,80,,,,,,RaceData01,202305040308
2100,ダート,雨/,不,,,1550,620,390,230,155,,,,,,RaceData01,202305040309
2400,芝,雨/,重,,,1840,740,460,280,184,,,,,,RaceData01,202305040310
1600,ダート,小雨/,不,,,2400,960,600,360,240,,,,,,RaceData01,202305040311
1300,ダート,小雨/,不,,,800,320,200,120,80,,,,,,RaceData01,202305040312
1400,芝,曇/,重,,,550,220,140,83,55,,,,,,RaceData01,202308020301
1200,ダート,曇/,重,,,550,220,140,83,55,,,,,,RaceData01,202308020302
1800,芝,曇/,重,,,550,220,140,83,55,,,,,,RaceData01,202308020303
1400,芝,曇/,重,,,720,290,180,110,72,,,,,,RaceData01,202308020304
2000,芝,曇/,重,,,720,290,180,110,72,,,,,,RaceData01,202308020305
1800,ダート,曇/,重,,,800,320,200,120,80,,,,,,RaceData01,202308020306
1900,ダート,曇/,重,,,800,320,200,120,80,,,,,,RaceData01,202308020307
1200,ダート,曇/,重,,,800,320,200,120,80,,,,,,RaceData01,202308020308
1400,芝,曇/,重,,,1070,430,270,160,107,,,,,,RaceData01,202308020309
1200,ダート,曇/,重,,,1840,740,460,280,184,,,,,,RaceData01,202308020310
2400,芝,曇/,重,,,6700,2700,1700,1000,670,,,,,,RaceData01,202308020311
1400,ダート,曇/,重,,,1140,460,290,170,114,,,,,,RaceData01,202308020312
